id,kode_provinsi,nama_provinsi,indikator,indeks_lingkungan_hidup,satuan,tahun
1,32,JAWA BARAT,Indeks Kualitas Air,46.27,POIN,2011
2,32,JAWA BARAT,Indeks Kualitas Udara,71.03,POIN,2011
3,32,JAWA BARAT,Indeks Kualitas Tutupan Lahan,38.24,POIN,2011
4,32,JAWA BARAT,Indeks Kualitas Lingkungan Hidup,50.486,POIN,2011
5,32,JAWA BARAT,Indeks Kualitas Air,43.75,POIN,2012
6,32,JAWA BARAT,Indeks Kualitas Udara,65.53,POIN,2012
7,32,JAWA BARAT,Indeks Kualitas Tutupan Lahan,38.96,POIN,2012
8,32,JAWA BARAT,Indeks Kualitas Lingkungan Hidup,48.368,POIN,2012
9,32,JAWA BARAT,Indeks Kualitas Air,41.8,POIN,2013
10,32,JAWA BARAT,Indeks Kualitas Udara,65.56,POIN,2013
11,32,JAWA BARAT,Indeks Kualitas Tutupan Lahan,38.96,POIN,2013
12,32,JAWA BARAT,Indeks Kualitas Lingkungan Hidup,47.8,POIN,2013
13,32,JAWA BARAT,Indeks Kualitas Air,39,POIN,2014
14,32,JAWA BARAT,Indeks Kualitas Udara,59.24,POIN,2014
15,32,JAWA BARAT,Indeks Kualitas Tutupan Lahan,38.98,POIN,2014
16,32,JAWA BARAT,Indeks Kualitas Lingkungan Hidup,45.064,POIN,2014
17,32,JAWA BARAT,Indeks Kualitas Air,40,POIN,2015
18,32,JAWA BARAT,Indeks Kualitas Udara,74.63,POIN,2015
19,32,JAWA BARAT,Indeks Kualitas Tutupan Lahan,46.29,POIN,2015
20,32,JAWA BARAT,Indeks Kualitas Lingkungan Hidup,52.905,POIN,2015
21,32,JAWA BARAT,Indeks Kualitas Air,40.41,POIN,2016
22,32,JAWA BARAT,Indeks Kualitas Udara,51.49,POIN,2016
23,32,JAWA BARAT,Indeks Kualitas Tutupan Lahan,46.09,POIN,2016
24,32,JAWA BARAT,Indeks Kualitas Lingkungan Hidup,46.006,POIN,2016
25,32,JAWA BARAT,Indeks Kualitas Air,42.07,POIN,2017
26,32,JAWA BARAT,Indeks Kualitas Udara,78.91,POIN,2017
27,32,JAWA BARAT,Indeks Kualitas Tutupan Lahan,38.89,POIN,2017
28,32,JAWA BARAT,Indeks Kualitas Lingkungan Hidup,51.85,POIN,2017
29,32,JAWA BARAT,Indeks Kualitas Air,39.87,POIN,2018
30,32,JAWA BARAT,Indeks Kualitas Udara,72.73,POIN,2018
31,32,JAWA BARAT,Indeks Kualitas Tutupan Lahan,38.89,POIN,2018
32,32,JAWA BARAT,Indeks Kualitas Lingkungan Hidup,49.34,POIN,2018
33,32,JAWA BARAT,Indeks Kualitas Air,42.73,POIN,2019
34,32,JAWA BARAT,Indeks Kualitas Udara,79.4,POIN,2019
35,32,JAWA BARAT,Indeks Kualitas Tutupan Lahan,38.7,POIN,2019
36,32,JAWA BARAT,Indeks Kualitas Lingkungan Hidup,52.12,POIN,2019
37,32,JAWA BARAT,Indeks Kualitas Air,42.84,POIN,2020
38,32,JAWA BARAT,Indeks Kualitas Udara,79.58,POIN,2020
39,32,JAWA BARAT,Indeks Kualitas Tutupan Lahan,42.48,POIN,2020
40,32,JAWA BARAT,Indeks Kualitas Lingkungan Hidup,61.59,POIN,2020
41,32,JAWA BARAT,Indeks Kualitas Air,43.09,POIN,2021
42,32,JAWA BARAT,Indeks Kualitas Udara,79.34,POIN,2021
43,32,JAWA BARAT,Indeks Kualitas Tutupan Lahan,40.78,POIN,2021
44,32,JAWA BARAT,Indeks Kualitas Lingkungan Hidup,62.68,POIN,2021
45,32,JAWA BARAT,Indeks Kualitas Air,47.13,POIN,2022
46,32,JAWA BARAT,Indeks Kualitas Udara,80.31,POIN,2022
47,32,JAWA BARAT,Indeks Kualitas Tutupan Lahan,41.88,POIN,2022
48,32,JAWA BARAT,Indeks Kualitas Lingkungan Hidup,64.66,POIN,2022
